listing_id,source,listing_url,opportunity_title,business_name,annual_revenue_usd,annual_ebitda_usd,annual_sde_usd,category,subcategory,location_city,location_state,asking_price_usd,financials_period,broker_name,listing_date_seen,notes
bizbuysell-1001,bizbuysell,https://example.com/1001,Established HVAC Service Company - Tampa,Confidential,2400000,,750000,home_services,hvac,Tampa,FL,2200000,ttm,Acme Brokers,2026-05-09,"Owner retiring after 32 years in business. Real estate included."
bizbuysell-1002,bizbuysell,https://example.com/1002,Family-Owned Plumbing Business,Confidential,1800000,,560000,home_services,plumbing,Phoenix,AZ,1750000,ttm,Acme Brokers,2026-05-09,"Owner age 67, health reasons. 25 years in business."
bizbuysell-1003,bizbuysell,https://example.com/1003,Premier Electrical Contractor,Confidential,3200000,,920000,home_services,electrical,Dallas,TX,3100000,ttm,Acme Brokers,2026-05-09,"Long-time owner; absentee owner; 15 years in business"
bizbuysell-1004,bizbuysell,https://example.com/1004,Landscaping Maintenance Co,Confidential,1100000,,300000,home_services,landscaping,Austin,TX,950000,ttm,Acme Brokers,2026-05-09,"Owner relocating. 12 years in business."
transworld-2001,transworld,https://example.com/2001,Established HVAC Service Co Tampa FL,Confidential,2400000,,755000,home_services,hvac,Tampa,FL,2200000,ttm,Transworld FL,2026-05-09,"Owner retiring. Real estate included."
bizquest-3001,bizquest,https://example.com/3001,Roofing Contractor,Confidential,4000000,,800000,home_services,roofing,Atlanta,GA,3500000,ttm,BizQuest,2026-05-09,"30 years in business"
bizquest-3002,bizquest,https://example.com/3002,Manufacturing Job Shop,Confidential,5000000,,950000,manufacturing,,Detroit,MI,4500000,ttm,BizQuest,2026-05-09,"Owner retiring after 40 years"
bizbuysell-1005,bizbuysell,https://example.com/1005,Residential HVAC Replacement,Confidential,1200000,,420000,home_services,hvac,Newark,NJ,1100000,ttm,Acme Brokers,2026-05-09,"5 years in business"
bizbuysell-1006,bizbuysell,https://example.com/1006,Commercial Plumbing - Long Island,Confidential,2900000,,810000,home_services,plumbing,Hempstead,NY,2700000,ttm,Acme Brokers,2026-05-09,"Owner age 71 retiring. 28 years in business. Estate sale."
bizbuysell-1007,bizbuysell,https://example.com/1007,Lawn Care & Landscaping,Confidential,2200000,,640000,home_services,landscaping,Richmond,VA,1900000,ttm,Acme Brokers,2026-05-09,"22 years in business; owner retiring"
bizbuysell-1008,bizbuysell,https://example.com/1008,Electrical Contractor - Houston,Confidential,2700000,,710000,home_services,electrical,Houston,TX,2500000,ttm,Acme Brokers,2026-05-09,"Owner retiring. 35 years in business. Real estate included."
bizbuysell-1009,bizbuysell,https://example.com/1009,HVAC - Miami,Confidential,3500000,,,home_services,hvac,Miami,FL,2800000,ttm,Acme Brokers,2026-05-09,"Owner retiring; 24 years in business"
