sector_id,sector_name,parent_industry,supply_side,demand_side,brokerage_form_today,transaction_type,ai_matching_complexity,ai_transaction_volume,ai_data_availability,ai_personalization_need,ai_manual_brokering_reliance,ai_document_language_intensity,sev_supply_fragmentation,sev_demand_fragmentation,sev_search_friction,sev_sales_cycle_length,sev_information_asymmetry,sev_middleman_rent,sev_mismatch_cost,market_size_usd,incumbent_competition,regulatory_burden,evidence_notes,confidence,date_scored
commercial-pc-insurance-brokerage,Commercial P&C Insurance Brokerage,insurance,"Regional carriers & MGAs","SMBs needing tailored coverage","Independent agents & brokers",recurring,5,4,3,5,5,5,4,5,4,4,5,4,4,300000000000,3,5,"Risk class/appetite matching is highly bespoke; carrier appetite data is siloed; brokers earn 10-15% commissions. TAM is rough premium estimate.",medium,2026-05-25
employee-benefits-brokerage,Employee Benefits Brokerage,insurance,"Health/dental/vision carriers","Employers selecting plans","Benefits brokers & GAs",recurring,4,4,3,4,5,5,3,5,4,4,5,4,3,50000000000,3,5,"Heavily manual plan-selection advisory; opaque pricing across carriers. Named-seed analogue to insurance brokerage.",medium,2026-05-25
freight-brokerage-ftl-spot,FTL Spot Freight Brokerage,logistics,"Owner-operators & small carriers","Shippers with one-off loads","Load boards + brokers",one_off,5,5,4,3,5,3,5,4,5,2,4,4,4,100000000000,4,3,"Named seed. Extreme carrier fragmentation; lane/equipment/timing matching; 15-20% broker margins. Crowded (Uber Freight, etc.).",medium,2026-05-25
contract-freight-brokerage,Contract Freight Brokerage,logistics,"Mid-size carriers","Shippers with recurring lanes","RFP / annual bids",contract,4,3,4,3,4,4,3,3,3,5,3,3,3,80000000000,4,3,"Long RFP cycles but lower fragmentation than spot; more standardized than spot freight.",low,2026-05-25
freight-forwarding-customs,Ocean/Air Freight Forwarding & Customs Brokerage,logistics,"Carriers & customs brokers","Importers/exporters","Freight forwarders",mixed,5,4,3,3,5,5,4,4,4,4,5,4,4,200000000000,3,5,"Multimodal + customs (HS codes, B/L) is document-heavy; opaque all-in pricing; manual coordination.",medium,2026-05-25
residential-mortgage-brokerage,Residential Mortgage Brokerage,finance,"Lenders & banks","Homebuyers","Mortgage brokers",one_off,4,5,4,4,4,5,3,5,4,4,4,3,3,100000000000,4,5,"Named-seed analogue (lending). High volume, document-heavy; partly digitized (Rocket etc.).",medium,2026-05-25
commercial-smb-lending-brokerage,Commercial / SMB Lending Brokerage,finance,"Banks, alt lenders, SBA","SMBs seeking capital","Loan brokers / advisors",one_off,5,4,3,5,5,5,4,5,5,4,5,4,4,50000000000,3,5,"Named seed (lending). Matching to lender credit boxes is bespoke and opaque; heavy manual brokering.",medium,2026-05-25
equipment-finance-brokerage,Equipment Finance / Leasing Brokerage,finance,"Lessors & lenders","Businesses buying equipment","Finance brokers",one_off,4,3,3,4,5,4,4,4,4,3,4,4,3,40000000000,2,4,"Fragmented broker channel; manual lender-shopping. Under-served by tech.",low,2026-05-25
cre-tenant-rep-leasing,CRE Tenant Rep / Commercial Leasing,real_estate,"Landlords & property owners","Businesses seeking space","Brokers (majors + long tail)",mixed,4,3,4,4,4,4,4,4,4,5,4,4,4,50000000000,3,2,"Long deal cycles; data partly digitized (CoStar) but access-gated; high broker commissions.",medium,2026-05-25
smb-business-brokerage,SMB / Lower-Middle-Market Business Brokerage,finance,"Business owners selling","Acquirers & searchers","Business brokers / M&A advisors",one_off,5,3,3,5,5,5,5,5,5,5,5,4,4,20000000000,2,2,"Ties to this repo's acquisition focus. Severe two-sided fragmentation, long opaque cycles, Lehman-style fees.",medium,2026-05-25
staffing-recruiting,Staffing & Recruiting (Contingent + Perm),labor,"Job candidates","Employers hiring","Recruiters & agencies",mixed,5,5,4,5,5,5,5,5,5,4,4,5,4,200000000000,4,2,"Skills/culture/comp matching is bespoke; 20-30% perm fees; resume/LinkedIn data exists but messy.",medium,2026-05-25
energy-procurement-brokerage,Commercial Energy Procurement Brokerage,energy,"Retail electricity/gas suppliers","Commercial energy buyers","Energy brokers",contract,4,3,3,3,5,4,3,4,4,3,5,4,3,20000000000,2,4,"Opaque supplier pricing; manual quote-gathering; deregulated-market dependent.",low,2026-05-25
wholesale-es-insurance,Wholesale / E&S (Excess & Surplus) Insurance,insurance,"Specialty carriers","Retail agents placing hard risk","Wholesale brokers / MGAs",recurring,5,3,2,5,5,5,3,4,5,4,5,4,4,100000000000,2,5,"Hard-to-place risk; very manual placement; poor data accessibility. Strong AI-fit, niche.",low,2026-05-25
reinsurance-mga-placement,Reinsurance / MGA Placement,insurance,"Reinsurers","Insurers/MGAs ceding risk","Reinsurance brokers",contract,5,2,2,4,5,5,2,3,3,5,4,3,5,40000000000,2,5,"Low volume, very high stakes per deal; relationship-driven; little public data.",low,2026-05-25
shipbroking-chartering,Ship Broking / Maritime Chartering,maritime,"Vessel owners","Cargo charterers","Shipbrokers",mixed,5,3,2,4,5,4,3,3,4,4,5,3,4,10000000000,1,4,"Vessel/route/laycan matching; opaque market; almost no incumbent AI.",low,2026-05-25
ag-commodity-brokerage,Agricultural Commodity Brokerage,agriculture,"Farmers & producers","Processors & buyers","Grain/commodity brokers",mixed,3,4,3,2,4,3,5,3,4,3,4,3,3,30000000000,2,3,"Extreme producer fragmentation; commoditized so lower matching complexity.",low,2026-05-25
scrap-recycling-brokerage,Scrap Metal / Recycling Brokerage,commodities,"Scrap generators & yards","Mills & processors","Scrap brokers / traders",mixed,3,4,2,2,5,2,5,3,4,2,5,4,3,20000000000,1,3,"Highly fragmented supply; opaque spot pricing; phone/relationship-driven; almost no tech.",low,2026-05-25
govcon-rfp-matching,GovCon RFP to Vendor Matching,govcon,"Contractors & vendors","Government agencies issuing RFPs","Capture consultants & portals",contract,5,4,4,4,4,5,5,4,5,5,4,3,3,30000000000,3,5,"NAICS/set-aside/capability matching; RFP & proposal text heavy; SAM.gov data is public. Very long cycles.",medium,2026-05-25
construction-subcontractor-bidding,Construction Subcontractor Bidding,professional_services,"Subcontractors","General contractors","Bid invitations & plan rooms",one_off,4,4,3,3,4,4,5,4,4,3,4,2,4,40000000000,3,3,"Fragmented subs; plan/spec documents; manual bid leveling. Several plan-room incumbents.",medium,2026-05-25
medical-dental-supply-procurement,Medical/Dental Supply Procurement,procurement,"Distributors & manufacturers","Clinics & practices","GPOs, reps, catalogs",recurring,3,5,3,3,3,3,3,5,3,2,4,3,2,50000000000,3,4,"High reorder volume but lower matching complexity; recommendation > matching opportunity.",low,2026-05-25
ride-hail-mobility,Ride-Hail / On-Demand Mobility (contrast),labor,"Drivers","Riders","App marketplace (solved)",one_off,2,5,5,1,1,1,5,5,1,1,1,2,1,100000000000,5,3,"Contrast baseline: fragmentation is high but matching is already solved by apps; low residual pain.",high,2026-05-25
consumer-ota-travel,Consumer Travel / OTA (contrast),media,"Hotels & airlines","Travelers","Online travel agencies (solved)",one_off,2,5,5,3,1,1,3,5,2,1,2,4,1,100000000000,5,2,"Contrast baseline: well-served by OTAs; high take rates but low search friction for buyers.",medium,2026-05-25
